name,type,supertype,domain,tags
Sun Disc,Gear,,Fury,
Stalwart Poro,Unit,,Calm,Poro
Stand United,Spell,,Calm,
Startipped Peak,Battlefield,,Colorless,
Stealthy Pursuer,Unit,,Chaos,Shurima
Stellacorn Herder,Unit,,Calm,Mount Targon
Sterak's Gage,Gear,,Calm,Equipment
Stormbringer,Spell,Signature,Fury || Body,Volibear
Stormclaw Ursine,Unit,,Body,Freljord
Strike Down,Spell,,Body,
Stupefy,Spell,,Mind,
Stacked Deck,Spell,,Chaos,
Sunlit Guardian,Unit,,Calm,Shurima
Super Mega Death Rocket!,Spell,Signature,Fury || Chaos,Jinx
Svellsongur,Gear,,Calm,Equipment
Swift Scout,Legend,,Mind || Chaos,Teemo
Swift Scout,Legend,,Mind || Chaos,Teemo
Swift Scout,Legend,,Mind || Chaos,Teemo
Switcheroo,Spell,,Chaos,
Symbol of the Solari,Gear,,Order,
Targon's Peak,Battlefield,,Colorless,
"Sona, Harmonious",Unit,Champion,Calm,Sona || Demacia
"Sivir, Mercenary",Unit,Champion,Chaos,Sivir || Shurima
"Sivir, Mercenary",Unit,Champion,Chaos,Sivir || Shurima
Sky Splitter,Spell,,Fury,
Smoke Screen,Spell,,Mind,
Sneaky Deckhand,Unit,,Chaos,Pirate || Bilgewater
Soaring Scout,Unit,,Order,Bird || Freljord
Solari Chief,Unit,,Order,Mount Targon
Solari Shieldbearer,Unit,,Calm,Mount Targon
Solari Shrine,Gear,,Calm,
"Taric, Protector",Unit,Champion,Calm,Taric || Mount Targon
"Soraka, Wanderer",Unit,Champion,Order,Soraka || Mount Targon
Soulgorger,Unit,,Chaos,Spirit || Shadow Isles
Spectral Matron,Unit,,Order,Spirit || Shadow Isles
Spinning Axe,Gear,Signature,Fury || Chaos,Draven || Equipment
Spirit's Refuge,Gear,,Calm,
Spoils of War,Spell,,Body,
Sprite,Unit,Token,Colorless,Fae
Sprite Call,Spell,,Mind,
Sprite Mother,Unit,,Mind,Fae
